Facility ID,Facility Name,Address Line 1,Address Line 2,City,State,ZIP,Latitude,Longitude,Total Rated Electric Generation (kW),Total Rated Heat Generation (MBtu/h),Total Rated Electrical Discharge Capacity (kW),Total Rated Electrical Storage Capacity (kWh),Total Rated Cooling Energy Discharge Capacity (ton),Total Equivalent Electrical Discharge Capacity from Cooling Sources (kW),Total Rated Cooling Energy Storage Capacity (ton-hour),Total Equivalent Electrical Storage Capacity from Cooling Sources (kWh),Total Rated Thermal Energy Discharge Capacity (MBtu/h),Total Equivalent Electrical Discharge Capacity from Thermal Sources (kW),Total Rated Thermal Energy Storage Capacity (MBtu),Total Equivalent Electrical Storage Capacity from Thermal Sources (kWh),Facility Submits Data on Electricity Imported from Utility?,Source Weather Station for Ambient Temperature Data,Metric Data Last Modified,Installed Systems,Alternate Name(s),Facility Website (external),Category,Subcategory,Floor Area (ft²),No. of Occupancy Units,Electric Utility,Gas Utility,NYISO Zone,Located in Flood Plain
1046,Facility C in zip code 14843,,,Hornell,NY,14843,42.320079,-77.646339,0,0,0,0,0,0,320,0,0,0,0,0,FALSE,Custom,8/2/19 14:00,1,,,Education,,,,New York State Electric and Gas,,C - Central,
1047,Facility A in zip code 14901,,,Elmira,NY,14901,42.087649,-76.746938,0,0,0,0,0,0,320,0,0,0,0,0,FALSE,Custom,8/2/19 14:00,1,,,Education,,,,New York State Electric and Gas,,C - Central,
1048,Facility A in zip code 12189,,,Watervliet,NY,12189,42.736342,-73.717521,0,0,0,0,0,0,640,0,0,0,0,0,FALSE,Custom,8/2/19 14:00,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,F - Capital,
1049,Home A in zip code 12494,,,West Shokan,NY,12494,41.956598,-74.292894,0,0,10,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 14:00,1,,,Residential,Single-family detached,,,Central Hudson Gas and Electric,,G - Hudson Valley,
1050,HomeB in zip code 11040,,,New Hyde Park,NY,11040,40.745347,-73.680292,0,0,9,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 14:00,1,,,Residential,Single-family detached,,,Long Island Power Authority (PSEG-LI),,K - Long Island,
1051,Home C in zip code 11576,,,Roslyn,NY,11576,40.798032,-73.647275,0,0,14.25,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/12/19 20:13,1,,,Residential,Single-family detached,,,Long Island Power Authority (PSEG-LI),,K - Long Island,
1053,Home A in zip code 10954,,,Bardonia,NY,10954,41.098819,-74.013262,0,0,10,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:59,1,,,Residential,Single-family detached,,,Orange and Rockland Utilities,,G - Hudson Valley,
1054,Home A in zip code 10992,,,Washingtonville,NY,10992,41.426089,-74.164664,0,0,5,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:58,1,,,Residential,Single-family detached,,,Orange and Rockland Utilities,,G - Hudson Valley,
1055,Home A in zip code 11940,,,East Moriches,NY,11940,40.81317,-72.752004,0,0,7.6,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:59,1,,,Residential,Single-family detached,,,Long Island Power Authority (PSEG-LI),,K - Long Island,
1056,Home A in zip code 11762,,,Massapequa Park,NY,11762,40.682744,-73.446664,0,0,6.94,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/12/19 20:13,1,,,Residential,Single-family detached,,,Long Island Power Authority (PSEG-LI),,K - Long Island,
1057,Home A in zip code 11572,,,Oceanside,NY,11572,40.631772,-73.636624,0,0,5.2,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:59,1,,,Residential,Single-family detached,,,Long Island Power Authority (PSEG-LI),,K - Long Island,
1058,Home A in zip code 11706,,,Bay Shore,NY,11706,40.722537,-73.252183,0,0,11.4,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:59,1,,,Residential,Single-family detached,,,Long Island Power Authority (PSEG-LI),,K - Long Island,
1059,Home A in zip code 11777,,,Port Jefferson,NY,11777,40.956068,-73.066659,0,0,16,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:59,1,,,Residential,Single-family detached,,,Long Island Power Authority (PSEG-LI),,K - Long Island,
1060,Home A in zip code 10530,,,Hartsdale,NY,10530,41.023712,-73.81281,0,0,5,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:59,1,,,Residential,Single-family detached,,,Consolidated Edison,,I - Dunwoodie,
1061,Home A in zip code 10590,,,South Salem,NY,10590,41.255247,-73.539415,0,0,5,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:58,1,,,Residential,Single-family detached,,,New York State Electric and Gas,,G - Hudson Valley,
1062,Rockefeller Center,45 Rockefeller Plaza,,New York,NY,10020,40.758236,-73.978833,0,0,0,0,0,0,11590,0,0,0,0,0,FALSE,Custom,8/2/19 13:58,1,,,Office,Mixed-Use Office,,,Consolidated Edison,,J - New York City,
1063,Home B in zip code 10918,,,Chester,NY,10918,41.344192,-74.262177,0,0,10,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:58,1,,,Residential,Single-family detached,,,Orange and Rockland Utilities,,G - Hudson Valley,
1064,Home A in zip code 12549,,,Montgomery,NY,12549,41.528031,-74.259365,0,0,10,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:58,1,,,Residential,Single-family detached,,,Orange and Rockland Utilities,,G - Hudson Valley,
1065,Home A in zip code 10923,,,Garnerville,NY,10923,41.203116,-74.002718,0,0,10,0,0,0,0,0,0,0,0,0,FALSE,Custom,8/2/19 13:58,1,,,Residential,Single-family detached,,,Orange and Rockland Utilities,,G - Hudson Valley,
1066,Village of Albion,14740 Densmore Street,,Albion,NY,14411,43.2555109,-78.1685839,1310.4,0,0,0,0,0,0,0,0,0,0,0,FALSE,KROC,8/12/19 20:40,1,,,Utilities Water and Waste Management,Wastewater Treatment Plant,,,National Grid - Upstate NY (Niagara Mohawk),,A - West,
1067,Luna Park Apartments - Building 4,2900 W 8th St,,Brooklyn,NY,11224,40.5775016,-73.9778139,100,613,0,0,0,0,0,0,0,0,0,0,FALSE,KJFK,8/12/19 18:48,1,,,Residential,Multifamily,,,Consolidated Edison,National Grid - NYC (Brooklyn Union),J - New York City,
1068,"Chester NY 1, LLC",215 Black Meadow Road,,Chester,NY,10918,,,2709.63,0,0,0,0,0,0,0,0,0,0,0,FALSE,KSWF,8/20/19 19:30,1,,,Offsite Resource,Solar Farm,,,Orange and Rockland Utilities,,G - Hudson Valley,
