Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed In-Service,Proposed Initial-Sync,Proposed COD
221,"AES Keystone Wind, LLC",Armenia Mountain II,7/19/06,75,75,W,Bradford,PA,C,Homer City-Watercure 345kV,NYSEG,0,4/8/09,,,,,
222,"Ball Hill Windpark, LLC",Ball Hill Windpark,7/21/06,90,90,W,Chautauqua,NY,A,Dunkirk-Gardenville 230kV,NM-NG,0,11/30/13,,,,,
223,"Noble Environmental Power, LLC",Arkwright Windpark,7/21/06,99,99,W,Chautauqua,NY,,Dunkirk-Falconer 115kV,NM-NG,0,3/12/07,,,,,
224,"NRG Energy, Inc.",Berrians GT II,8/23/06,50,90,CC,Queens,NY,J,Astoria West Substation 138kV,CONED,0,7/31/15,,,,,
0224B,Casella Waste Systems,Chemung Landfill,9/5/06,6.4,6.4,M,Chemung,NY,C,115kV,NYSEG,0,4/15/08,,,,,
0225A,"Schenectady International, Inc.",SII Rotterdam Junction,9/8/06,9.3,9.3,Wo,Rotterdam,NY,F,69kV,NM-NG,0,8/31/10,,,,,
0225B,Burrstone Energy,Faxton/ St. Luke,9/15/06,2.2,2.2,NG,Herkimer,NY,E,TBD,NM-NG,0,7/10/08,,,,,
226,Cavallo Power,Linden,9/8/06,1200,1200,CC,New York-NJ,NY,,"East 13th, West 49th",CONED,0,11/14/06,,,,,
227,"EC&R Northeast, LLC",Orleans Wind,9/28/06,120,120,W,Orleans,NY,A,Shelby Substation - 115kV,NM-NG,0,10/14/08,,,,,
0227A,Laidlaw Energy Group Inc.,Laidlaw Energy & Env.,10/30/06,7,7,Wo,Cattaraugus,NY,A,13.2kV,NM-NG,0,5/31/13,,,,,
228,"AES Bainbridge, LLC",Jennison,10/30/06,516,536,C,Chenango,NY,,TBD,NYSEG,0,4/24/07,,,,,
229,"AES Somerset 2, LLC",Somerset,11/1/06,687,706,C,Niagara,NY,,Somerset Substation 345kV,NYSEG,0,3/27/07,,,,,
230,Cornell University,Cornell CHPP,11/2/06,30,30,NG,,,,Maple Ave. Substation 115kV,,0,11/21/06,,,,,
231,"Seneca Energy II, LLC",Seneca,11/2/06,6.4,6.4,M,Seneca,NY,C,Goulds Substation 34.5kV,NYSEG,0,4/30/12,,,,,
235,"Gamesa Energy USA, LLC",Canfield Wind,12/12/06,120,120,W,Tioga - Bradford,PA,,Homer City-Watercure 345kV,NYSEG,0,10/16/07,,,,,
